Department family,Entity,Date of payment,Expense type,Expense area,Supplier,Transaction number,Amount in Sterling
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82600) Uniforms & Clothing,(id:41860) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257    ,13.47
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82000) Provisions & Kitchens,(id:41860) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257  ,53.12
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82800) Bedding & Linen,(id:41860) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936   ,118.9
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82800) Bedding & Linen,(id:41860) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941   ,209.47
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(84500) Establishment,(id:41860) Integrated Therapies and Medicine,CDP  PRINT MANAGEMENT,id:13041994  ,10.8
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(50552) Qualified Nursing Staff,(id:41860) Integrated Therapies and Medicine,GLOBE LOCUMS LTD,id:13052044  ,322.99
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82700) Uniforms & Clothing,(id:41859) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936    ,31.68
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50552) Qualified Nursing Staff,(id:41859) Integrated Therapies and Medicine,CARE PROVIDERS HEALTHCARE,id:13045522   ,1015.22
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50522) Unqualified Nursing Staff,(id:41859) Integrated Therapies and Medicine,MSI GROUP LTD,id:13043585   ,311.62
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81700) Lab Equipment Purchase,(id:41859) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837 ,9.46
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81700) Lab Equipment Purchase,(id:41859) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941 ,25.22
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83400) Office Equipment,(id:41858) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936  ,33.03
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(83400) Office Equipment,(id:41858) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837  ,40.87
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(82800) Bedding & Linen,(id:41858) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837   ,16.92
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(84500) Establishment,(id:41858) Integrated Therapies and Medicine,CDP  PRINT MANAGEMENT,id:13040917  ,9.3
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(50552) Qualified Nursing Staff,(id:41858) Integrated Therapies and Medicine,CONTINENTAL NURSE LTD,id:13053512  ,2385.88
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81255) Medical Surgical Supplies & Equipment,(id:41858) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936 ,37.15
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50522) Unqualified Nursing Staff,(id:41858) Integrated Therapies and Medicine,CARE PROVIDERS HEALTHCARE,id:13007516 ,504.12
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:41858) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194 ,9.84
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81700) Lab Equipment Purchase,(id:41858) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217 ,47.44
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50532) Unqualified Nursing Staff,(id:41872) Integrated Therapies and Medicine,CONTINENTAL NURSE LTD,id:13043715,939.35
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(50552) Qualified Nursing Staff,(id:41872) Integrated Therapies and Medicine,GLOBE LOCUMS LTD,id:13017864  ,313.82
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50552) Qualified Nursing Staff,(id:41872) Integrated Therapies and Medicine,GLOBE LOCUMS LTD,id:13001091  ,721.22
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(50552) Qualified Nursing Staff,(id:41872) Integrated Therapies and Medicine,GLOBE LOCUMS LTD,id:13053534  ,664.98
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50522) Unqualified Nursing Staff,(id:41872) Integrated Therapies and Medicine,MSI GROUP LTD,id:13043526   ,511.94
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(50522) Unqualified Nursing Staff,(id:41870) Integrated Therapies and Medicine,MSI GROUP LTD,id:13030937   ,224.97
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82600) Uniforms & Clothing,(id:41869) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936    ,1.69
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82600) Uniforms & Clothing,(id:41869) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257    ,317.16
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(83400) Office Equipment,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:13010738,13.49
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(83400) Office Equipment,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:12996838,26.98
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83400) Office Equipment,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:12980910,88.8
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(83400) Office Equipment,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:13021145,148.37
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(83500) Furniture & Fittings,(id:41869) Integrated Therapies and Medicine,TECHNIBLINDS LTD,id:13002397,834
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(82800) Bedding & Linen,(id:41869) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837   ,7.44
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:12994678    ,512.63
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:13021145    ,766.65
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:13018774    ,1582.21
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41869) Integrated Therapies and Medicine,SQUADRON MEDICAL LTD,id:13007583    ,540.8
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83400) Office Equipment,(id:41868) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936  ,54.55
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82000) Provisions & Kitchens,(id:41882) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194  ,11.19
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82800) Bedding & Linen,(id:41882) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217   ,7.03
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81100) Dressings,(id:41882) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194    ,4.9
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(84500) Establishment,(id:41882) Integrated Therapies and Medicine,CDP  PRINT MANAGEMENT,id:13041994  ,18
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82000) Provisions & Kitchens,(id:41880) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257  ,194.02
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82000) Provisions & Kitchens,(id:41880) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217  ,31.2
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(84500) Establishment,(id:41880) Integrated Therapies and Medicine,CDP  PRINT MANAGEMENT,id:13040918  ,138.6
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:41880) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936 ,10.08
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81700) Lab Equipment Purchase,(id:41880) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194 ,33.94
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(50522) Unqualified Nursing Staff,(id:41880) Integrated Therapies and Medicine,GLOBE LOCUMS LTD,id:13018115,221.76
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(50522) Unqualified Nursing Staff,(id:41880) Integrated Therapies and Medicine,MSI GROUP LTD,id:13052009   ,260.09
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(50522) Unqualified Nursing Staff,(id:41880) Integrated Therapies and Medicine,GLOBE LOCUMS LTD,id:13031033,174.81
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82600) Uniforms & Clothing,(id:41879) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941    ,408.97
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82700) Uniforms & Clothing,(id:41879) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257    ,63.36
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82000) Provisions & Kitchens,(id:41879) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941  ,1.98
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82800) Bedding & Linen,(id:41879) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941   ,112.54
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81275) Medical Surgical Supplies & Equipment,(id:41879) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194 ,14.14
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50522) Unqualified Nursing Staff,(id:41879) Integrated Therapies and Medicine,MSI GROUP LTD,id:13043719   ,456.56
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81255) Medical Surgical Supplies & Equipment,(id:41879) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936 ,33.78
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81255) Medical Surgical Supplies & Equipment,(id:41879) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194 ,9.36
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41879) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194 ,1623.1
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50552) Qualified Nursing Staff,(id:41879) Integrated Therapies and Medicine,MSI GROUP LTD,id:13009585,1018.31
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(83400) Office Equipment,(id:41878) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837  ,36.46
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82800) Bedding & Linen,(id:41878) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194   ,153.39
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81100) Dressings,(id:41878) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837    ,80.07
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50552) Qualified Nursing Staff,(id:41878) Integrated Therapies and Medicine,CONTINENTAL NURSE LTD,id:13043534  ,2106.27
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50522) Unqualified Nursing Staff,(id:41878) Integrated Therapies and Medicine,CARE PROVIDERS HEALTHCARE,id:13001093 ,947.41
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50522) Unqualified Nursing Staff,(id:41878) Integrated Therapies and Medicine,MSI GROUP LTD,id:13006142   ,229.47
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50522) Unqualified Nursing Staff,(id:41878) Integrated Therapies and Medicine,MSI GROUP LTD,id:13006036   ,249.44
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81255) Medical Surgical Supplies & Equipment,(id:41878) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936 ,6.24
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81255) Medical Surgical Supplies & Equipment,(id:41878) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941 ,2.49
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(50200) Consultants,(id:41876) Integrated Therapies and Medicine,KINGS COLLEGE LONDON:03529700,id:12782647 ,3001.45
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(83400) Office Equipment,(id:41881) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837  ,50.84
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83400) Office Equipment,(id:41881) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217  ,110.38
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:41881) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941  ,203.57
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(82800) Bedding & Linen,(id:41881) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837   ,90.91
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(50552) Qualified Nursing Staff,(id:41881) Integrated Therapies and Medicine,GLOBE LOCUMS LTD,id:13031200  ,510
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50522) Unqualified Nursing Staff,(id:41881) Integrated Therapies and Medicine,GLOBE LOCUMS LTD,id:13001017,202.7
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41881) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257 ,847.31
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:41881) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257 ,7.55
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(89595) Non-Healthcare from Foundation Trusts,(id:1435419) Integrated Therapies and Medicine,ST MUNGO'S BROADWAY,id:12971122   ,23000
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42255) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194    ,146.35
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(83400) Office Equipment,(id:42255) Integrated Local Services,BLACKWELLS LONDON BOOKSHOP,id:12991257  ,699
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(82600) Uniforms & Clothing,(id:42255) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837  ,113.88
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(83410) Office Equipment,(id:590598) Integrated Local Services,RICOH UK LTD,id:13037294,517.65
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(84500) Establishment,(id:590466) Integrated Local Services,CDP  PRINT MANAGEMENT,id:13040917    ,12.4
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:590466) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941    ,28.94
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82000) Provisions & Kitchens,(id:590464) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257    ,28.8
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82000) Provisions & Kitchens,(id:590425) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936    ,3.63
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(86300) Healthcare from non-NHS bodies,(id:590579) Integrated Local Services,MONTE FIELDS,id:13010481 ,952
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81100) Dressings,(id:590563) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194 ,21.07
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:590563) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257   ,60.73
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:590562) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941    ,13.26
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(84200) Rental under Operating Lease,(id:590575) Integrated Local Services,MARSH LTD,id:13014517 ,1345.23
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82800) Bedding & Linen,(id:839420) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941,177.07
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:1885422) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217  ,176.78
