query_string_n,verif_match
BEVAN GROUP PRACTICE,BEVAN GROUP PRACTICE
BEVAN MEDICAL GROUP,BEVAN MEDICAL GROUP
BEVERSBROOK MEDICAL CENTRE,BEVERSBROOK MEDICAL CENTRE
BEWDLEY MEDICAL CENTRE,BEWDLEY MEDICAL CENTRE
BEWICK CRESCENT SURGERY,BEWICK CRESCENT SURGERY
BEXHILL CARE CENTRE LIMITED,BEXHILL CARE CENTRE LIMITED
BEXLEY GROUP PRACTICE,BEXLEY GROUP PRACTICE
BEXLEY HEALTH LIMITED,BEXLEY HEALTH LIMITED
BEXLEY HEALTH NEIGHBOURHOOD CARE COMMUNITY INTEREST COMPANY,BEXLEY HEALTH NEIGHBOURHOOD CARE COMMUNITY INTEREST COMPANY
BEXLEY MEDICAL GROUP,BEXLEY MEDICAL GROUP
BG HEALTH,BG HEALTH
BG SOLICITORS LIMITED LIABILITY PARTNERSHIP,BG SOLICITORS LIMITED LIABILITY PARTNERSHIP
BHOJANI HEALTHCARE LIMITED,BHOJANI HEALTHCARE LIMITED
BIG LIFE SERVICES,BIG LIFE SERVICES
BIG LOVE SISTA COMMUNITY INTEREST COMPANY,BIG LOVE SISTA COMMUNITY INTEREST COMPANY
BIGWHITEWALL LIMITED,BIGWHITEWALL LIMITED
BILLINGE MEDICAL PRACTICE,BILLINGE MEDICAL PRACTICE
BILLINGSHURST SURGERY,BILLINGSHURST SURGERY
BILSTHORPE SURGERY,BILSTHORPE SURGERY
BINFIELD ROAD SURGERY,BINFIELD ROAD SURGERY
BIRBECK MEDICAL GROUP,BIRBECK MEDICAL GROUP
BIRCHINGTON MEDICAL CENTRE,BIRCHINGTON MEDICAL CENTRE
BIRCHWOOD,BIRCHWOOD
BIRCHWOOD MEDICAL PRACTICE,BIRCHWOOD MEDICAL PRACTICE
BIRCHWOOD SURGERY,BIRCHWOOD SURGERY
BIRKETT LONG LIMITED LIABILITY PARTNERSHIP,BIRKETT LONG LIMITED LIABILITY PARTNERSHIP
BIRKWOOD MEDICAL CENTRE,BIRKWOOD MEDICAL CENTRE
BIRLEY HEALTH CENTRE,BIRLEY HEALTH CENTRE
BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST
BIRMINGHAM AND SOLIHULL WOMENS AID,BIRMINGHAM AND SOLIHULL WOMENS AID
BIRMINGHAM CITY COUNCIL,BIRMINGHAM CITY COUNCIL
BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST
BIRMINGHAM DISABILITY RESOURCE CENTRE,BIRMINGHAM DISABILITY RESOURCE CENTRE
BIRMINGHAM MIND,BIRMINGHAM MIND
BIRMINGHAM SMARTCARE LIMITED,BIRMINGHAM SMARTCARE LIMITED
BIRMINGHAM WOMENS AND CHILDRENS NHS FOUNDATION TRUST,BIRMINGHAM WOMENS AND CHILDRENS NHS FOUNDATION TRUST
BIRT LIMITED,BIRT LIMITED
BIRTHRATE PLUS ASSOCIATES LIMITED,BIRTHRATE PLUS ASSOCIATES LIMITED
BISHOPGATE MEDICAL CENTRE,BISHOPGATE MEDICAL CENTRE
BISHOPS CLOSE MEDICAL PRACTICE,BISHOPS CLOSE MEDICAL PRACTICE
BISHOPSTON MEDICAL PRACTICE,BISHOPSTON MEDICAL PRACTICE
BLACK COUNTRY PARTNERSHIP NHS FOUNDATION TRUST,BLACK COUNTRY PARTNERSHIP NHS FOUNDATION TRUST
BLACK COUNTRY WOMENS AID,BLACK COUNTRY WOMENS AID
BLACK PEAR SOFTWARE LIMITED,BLACK PEAR SOFTWARE LIMITED
BLACK SWAN INTERNATIONAL LIMITED,BLACK SWAN INTERNATIONAL LIMITED
BLACKBURN AND DISTRICT SUPPORTED HOUSING LIMITED,BLACKBURN AND DISTRICT SUPPORTED HOUSING LIMITED
BLACKBURN WITH DARWEN BOROUGH COUNCIL,BLACKBURN WITH DARWEN BOROUGH COUNCIL
BLACKETTS MEDICAL PRACTICE,BLACKETTS MEDICAL PRACTICE
BLACKFRIARS MEDICAL PRACTICE,BLACKFRIARS MEDICAL PRACTICE
BLACKHALL AND PETERLEE PRACTICE,BLACKHALL AND PETERLEE PRACTICE
BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST
BLAKE MORGAN LIMITED LIABILITY PARTNERSHIP,BLAKE MORGAN LIMITED LIABILITY PARTNERSHIP
BLAUW BEAR LIMITED,BLAUW BEAR LIMITED
BLOCK SOLUTIONS LIMITED,BLOCK SOLUTIONS LIMITED
BLOFIELD SURGERY,BLOFIELD SURGERY
BLOOMSBURY HEALTH CENTRE,BLOOMSBURY HEALTH CENTRE
BLOOMSBURY KG LIMITED,BLOOMSBURY KG LIMITED
BLOOMSBURY SURGERY,BLOOMSBURY SURGERY
BLOXWICH MEDICAL PRACTICE,BLOXWICH MEDICAL PRACTICE
BLUE MOUNTAIN HOMES LIMITED,BLUE MOUNTAIN HOMES LIMITED
BLUE RIBBON HEALTHCARE LIMITED,BLUE RIBBON HEALTHCARE LIMITED
BLUEBELL CARE TRUST,BLUEBELL CARE TRUST
BLUEBELL MEDICAL CENTRE,BLUEBELL MEDICAL CENTRE
BLUEBELL WOOD CHILDRENS HOSPICE,BLUEBELL WOOD CHILDRENS HOSPICE
BLUESOURCE INFORMATION LIMITED,BLUESOURCE INFORMATION LIMITED
BLUEWOOD RECRUITMENT LIMITED,BLUEWOOD RECRUITMENT LIMITED
BMI HEALTHCARE LIMITED,BMI HEALTHCARE LIMITED
BMI SOUTHEND PRIVATE HOSPITAL,BMI SOUTHEND PRIVATE HOSPITAL
BMJ PUBLISHING GROUP LIMITED,BMJ PUBLISHING GROUP LIMITED
BMS UK LIMITED,BMS UK LIMITED
BODY POSITIVE CHESHIRE AND NORTH WALES,BODY POSITIVE CHESHIRE AND NORTH WALES
BOEHRINGER INGELHEIM LIMITED,BOEHRINGER INGELHEIM LIMITED
BOLTON COMMUNITY PRACTICE,BOLTON COMMUNITY PRACTICE
BOLTON CVS,BOLTON CVS
BOLTON GP PARTNERSHIP LIMITED,BOLTON GP PARTNERSHIP LIMITED
BOLTON HOSPICE,BOLTON HOSPICE
BOLTON STEPS,BOLTON STEPS
BOMGAR UK LIMITED,BOMGAR UK LIMITED
BORDER OFFICE SUPPLIES AND SYSTEMS LIMITED,BORDER OFFICE SUPPLIES AND SYSTEMS LIMITED
BOROUGH GREEN MEDICAL PRACTICE,BOROUGH GREEN MEDICAL PRACTICE
BOROUGH ROAD AND NUNTHORPE MEDICAL GROUP,BOROUGH ROAD AND NUNTHORPE MEDICAL GROUP
BOSTON BOROUGH COUNCIL,BOSTON BOROUGH COUNCIL
BOTTREAUX SURGERY,BOTTREAUX SURGERY
BOUGHTON MEDICAL CENTRE,BOUGHTON MEDICAL CENTRE
BOUGHTON MEDICAL GROUP,BOUGHTON MEDICAL GROUP
BOUNDS GREEN GROUP PRACTICE,BOUNDS GREEN GROUP PRACTICE
BOURN HALL LIMITED,BOURN HALL LIMITED
BOURNVILLE VILLAGE TRUST,BOURNVILLE VILLAGE TRUST
BOWBURN MEDICAL CENTRE,BOWBURN MEDICAL CENTRE
BOWDEN DERRA PARK LIMITED,BOWDEN DERRA PARK LIMITED
BOX SURGERY,BOX SURGERY
BOXWELL ROAD SURGERY,BOXWELL ROAD SURGERY
BPAS,BPAS
BRADBURY HEALTH ALLIANCE LIMITED,BRADBURY HEALTH ALLIANCE LIMITED
BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST
BRADFORD DISTRICT CARE TRUST,BRADFORD DISTRICT CARE TRUST
BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST
BRADFORD VCS ALLIANCE LIMITED,BRADFORD VCS ALLIANCE LIMITED
BRADLEY STOKE SURGERY,BRADLEY STOKE SURGERY
BRAHM LIFT LIMITED,BRAHM LIFT LIMITED
BRAIN INJURY REHABILITATION TRUST,BRAIN INJURY REHABILITATION TRUST
BRAMBLE HUB LIMITED,BRAMBLE HUB LIMITED
BRAMCOTE SURGERY,BRAMCOTE SURGERY
BRAMPTON MEDICAL PRACTICE,BRAMPTON MEDICAL PRACTICE
BRANCASTER CARE HOMES LIMITED,BRANCASTER CARE HOMES LIMITED
BRANCH END SURGERY,BRANCH END SURGERY
BRANDON MEDICAL PRACTICE,BRANDON MEDICAL PRACTICE
BRANKSOME PARK CARE CENTRE LIMITED,BRANKSOME PARK CARE CENTRE LIMITED
BRANNEL SURGERY,BRANNEL SURGERY
BRAY LEINO LIMITED,BRAY LEINO LIMITED
BRENTFORD FAMILY PRACTICE,BRENTFORD FAMILY PRACTICE
BRENTWOOD MIND,BRENTWOOD MIND
BRIARWOOD MEDICAL CENTRE,BRIARWOOD MEDICAL CENTRE
BRICK LANE SURGERY,BRICK LANE SURGERY
BRID INC LIMITED,BRID INC LIMITED
BRIDGE COTTAGE SURGERY,BRIDGE COTTAGE SURGERY
BRIDGE VIEW MEDICAL,BRIDGE VIEW MEDICAL
BRIDGEGATE MEDICAL CENTRE,BRIDGEGATE MEDICAL CENTRE
BRIDGEMARY MEDICAL CENTRE,BRIDGEMARY MEDICAL CENTRE
BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST
BRIDGEWATER FAMILY MEDICAL PRACTICE,BRIDGEWATER FAMILY MEDICAL PRACTICE
BRIDGEWATER SURGERIES,BRIDGEWATER SURGERIES
BRIDGNORTH MEDICAL PRACTICE,BRIDGNORTH MEDICAL PRACTICE
BRIERLEY PARK MEDICAL CENTRE,BRIERLEY PARK MEDICAL CENTRE
BRIGHTER FUTURES HOUSING ASSOCIATION LIMITED,BRIGHTER FUTURES HOUSING ASSOCIATION LIMITED
BRIGHTON AND HOVE CITY COUNCIL,BRIGHTON AND HOVE CITY COUNCIL
BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST
BRIGHTON HOUSING TRUST,BRIGHTON HOUSING TRUST
BRIGHTPURPOSE LIMITED,BRIGHTPURPOSE LIMITED
BRISDOC HEALTHCARE SERVICES LIMITED,BRISDOC HEALTHCARE SERVICES LIMITED
BRISTOL AND DISTRICT TRANQUILLISER PROJECT,BRISTOL AND DISTRICT TRANQUILLISER PROJECT
BRISTOL CITY COUNCIL,BRISTOL CITY COUNCIL
BRISTOL COMMUNITY HEALTH COMMUNITY INTEREST COMPANY,BRISTOL COMMUNITY HEALTH COMMUNITY INTEREST COMPANY
BRISTOL MIND,BRISTOL MIND
BRITISH LUNG FOUNDATION,BRITISH LUNG FOUNDATION
BRITISH RED CROSS SOCIETY,BRITISH RED CROSS SOCIETY
BRIXTON HILL GROUP PRACTICE,BRIXTON HILL GROUP PRACTICE
BROADCARE SOFTWARE LIMITED,BROADCARE SOFTWARE LIMITED
BROADMEAD MEDICAL CENTRE,BROADMEAD MEDICAL CENTRE
BROADSTAIRS MEDICAL PRACTICE,BROADSTAIRS MEDICAL PRACTICE
BROADWATER MEDICAL CENTRE,BROADWATER MEDICAL CENTRE
BROADWAY SURGERY,BROADWAY SURGERY
BROCKHURST MEDICAL CENTRE,BROCKHURST MEDICAL CENTRE
BROCKWELL MEDICAL GROUP,BROCKWELL MEDICAL GROUP
BROCKWOOD MEDICAL PRACTICE,BROCKWOOD MEDICAL PRACTICE
BROMLEY COMMON PRACTICE,BROMLEY COMMON PRACTICE
BROMLEY COMMUNITY COUNSELLING SERVICE,BROMLEY COMMUNITY COUNSELLING SERVICE
BROMLEY GP ALLIANCE,BROMLEY GP ALLIANCE
BROMLEY HEALTHCARE COMMUNITY INTEREST COMPANY,BROMLEY HEALTHCARE COMMUNITY INTEREST COMPANY
BRONDESBURY MEDICAL CENTRE,BRONDESBURY MEDICAL CENTRE
BROOK LANE SURGERY,BROOK LANE SURGERY
BROOK YOUNG PEOPLE,BROOK YOUNG PEOPLE
BROOKFIELD SURGERY,BROOKFIELD SURGERY
BROOKHOUSE MEDICAL CENTRE,BROOKHOUSE MEDICAL CENTRE
BROOKVALE PRACTICE,BROOKVALE PRACTICE
BROOM LEYS SURGERY,BROOM LEYS SURGERY
BROOME AND WELLINGTON,BROOME AND WELLINGTON
BROOMHILL SURGERY,BROOMHILL SURGERY
BROOMWELL HEALTHWATCH LIMITED,BROOMWELL HEALTHWATCH LIMITED
BROOMWOOD ROAD SURGERY,BROOMWOOD ROAD SURGERY
BROSELEY MEDICAL PRACTICE,BROSELEY MEDICAL PRACTICE
BROTHER UK LIMITED,BROTHER UK LIMITED
BROW MEDICAL CENTRE,BROW MEDICAL CENTRE
BROWNE JACOBSON LIMITED LIABILITY PARTNERSHIP,BROWNE JACOBSON LIMITED LIABILITY PARTNERSHIP
BROWNHILL SURGERY,BROWNHILL SURGERY
BROWNLOW GROUP PRACTICE,BROWNLOW GROUP PRACTICE
BROXTOWE BOROUGH COUNCIL,BROXTOWE BOROUGH COUNCIL
BRUNE MEDICAL CENTRE,BRUNE MEDICAL CENTRE
BRUNELCARE,BRUNELCARE
BRUNSWICK SURGERY,BRUNSWICK SURGERY
BRYMILL CRYOGENIC SYSTEMS UK LIMITED,BRYMILL CRYOGENIC SYSTEMS UK LIMITED
BRYN STREET SURGERY,BRYN STREET SURGERY
BT BUSINESS DIRECT LIMITED,BT BUSINESS DIRECT LIMITED
BUCHANAN ROAD SURGERY,BUCHANAN ROAD SURGERY
BUCKINGHAMSHIRE COUNTY COUNCIL,BUCKINGHAMSHIRE COUNTY COUNCIL
BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST
BUCKINGHAMSHIRE NEW UNIVERSITY,BUCKINGHAMSHIRE NEW UNIVERSITY
BUILDING BETTER HEALTH LAMBETH SOUTHWARK LEWISHAM LIMITED,BUILDING BETTER HEALTH LAMBETH SOUTHWARK LEWISHAM LIMITED
BUILDING CIRCLES IN GLOUCESTERSHIRE,BUILDING CIRCLES IN GLOUCESTERSHIRE
BULBANKS MEDICAL CENTRE,BULBANKS MEDICAL CENTRE
BUNBURY MEDICAL PRACTICE,BUNBURY MEDICAL PRACTICE
BURBAGE SURGERY,BURBAGE SURGERY
BURDWOOD SURGERY,BURDWOOD SURGERY
BURLEIGH MEDICAL CENTRE,BURLEIGH MEDICAL CENTRE
BURN BRAE MEDICAL GROUP,BURN BRAE MEDICAL GROUP
BURNBRAE MEDICAL PRACTICE,BURNBRAE MEDICAL PRACTICE
BURNGREAVE SURGERY,BURNGREAVE SURGERY
BURSCOUGH FAMILY PRACTICE,BURSCOUGH FAMILY PRACTICE
BURSTED WOOD SURGERY,BURSTED WOOD SURGERY
BURTON AND DISTRICT MIND,BURTON AND DISTRICT MIND
BURTON HOSPITALS NHS FOUNDATION TRUST,BURTON HOSPITALS NHS FOUNDATION TRUST
BURVILL HOUSE SURGERY,BURVILL HOUSE SURGERY
BURY ROAD SURGERY,BURY ROAD SURGERY
BUTTERWICK HOSPICE CARE,BUTTERWICK HOSPICE CARE
BYTES SOFTWARE SERVICES LIMITED,BYTES SOFTWARE SERVICES LIMITED
BZ BODIES LIMITED,BZ BODIES LIMITED
CADBURY HEATH HEALTHCARE,CADBURY HEATH HEALTHCARE
CAE TECHNOLOGY SERVICES LIMITED,CAE TECHNOLOGY SERVICES LIMITED
CAIREACH LIMITED,CAIREACH LIMITED
CALDBECK SURGERY,CALDBECK SURGERY
CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST
CALDERDALE METROPOLITAN BOROUGH COUNCIL,CALDERDALE METROPOLITAN BOROUGH COUNCIL
CALLOWLAND SURGERY,CALLOWLAND SURGERY
CAMBIAN AUTISM SERVICES LIMITED,CAMBIAN AUTISM SERVICES LIMITED
CAMBRIDGE CARE HOMES LIMITED,CAMBRIDGE CARE HOMES LIMITED
CAMBRIDGE COGNITION LIMITED,CAMBRIDGE COGNITION LIMITED
CAMBRIDGE MEDICAL GROUP,CAMBRIDGE MEDICAL GROUP
CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST
CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST
CAMBRIDGESHIRE COUNTY COUNCIL,CAMBRIDGESHIRE COUNTY COUNCIL
CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST
CAMELOT CARE HOMES LIMITED,CAMELOT CARE HOMES LIMITED
CAMILLUS HEALTH CARE LIMITED,CAMILLUS HEALTH CARE LIMITED
CAMINO HEALTHCARE DUDLEY PORT LIMITED,CAMINO HEALTHCARE DUDLEY PORT LIMITED
CANBURY MEDICAL CENTRE,CANBURY MEDICAL CENTRE
CANCER RESEARCH UK,CANCER RESEARCH UK
CANTERBURY CHRIST CHURCH UNIVERSITY COLLEGE,CANTERBURY CHRIST CHURCH UNIVERSITY COLLEGE
CANTERBURY CITY COUNCIL,CANTERBURY CITY COUNCIL
CANTERBURY INTEGRATED HEALTHCARE LIMITED,CANTERBURY INTEGRATED HEALTHCARE LIMITED
CANTERBURY MEDICAL PRACTICE,CANTERBURY MEDICAL PRACTICE
CANTERBURY WAY SURGERY,CANTERBURY WAY SURGERY
CANTILUPE SURGERY,CANTILUPE SURGERY
CAPE CORNWALL SURGERY,CAPE CORNWALL SURGERY
CAPGEMINI UK PUBLIC LIMITED COMPANY,CAPGEMINI UK PUBLIC LIMITED COMPANY
CAPITA BUSINESS SERVICES LIMITED,CAPITA BUSINESS SERVICES LIMITED
CAPITA PROPERTY AND INFRASTRUCTURE LIMITED,CAPITA PROPERTY AND INFRASTRUCTURE LIMITED
CAPITA RESOURCING LIMITED,CAPITA RESOURCING LIMITED
CAPITAL,CAPITAL
CAPITAL PROJECT TRUST,CAPITAL PROJECT TRUST
CAPITAL STAFFING SERVICES LIMITED,CAPITAL STAFFING SERVICES LIMITED
CAPSTICKS SOLICITORS LIMITED LIABILITY PARTNERSHIP,CAPSTICKS SOLICITORS LIMITED LIABILITY PARTNERSHIP
CARADOC SURGERY,CARADOC SURGERY
CARALINE,CARALINE
CARDEN SURGERY,CARDEN SURGERY
CARDIUM LIMITED,CARDIUM LIMITED
CARE COSTS LIMITED,CARE COSTS LIMITED
CARE FEE RECOVERY LIMITED,CARE FEE RECOVERY LIMITED
CARE FORUM,CARE FORUM
CARE HOME FUNDING INVESTIGATORS LIMITED,CARE HOME FUNDING INVESTIGATORS LIMITED
CARE INNOVATION NATIONWIDE LIMITED,CARE INNOVATION NATIONWIDE LIMITED
CARE MANAGEMENT GROUP LIMITED,CARE MANAGEMENT GROUP LIMITED
CARE OUTCOMES UK LIMITED,CARE OUTCOMES UK LIMITED
CARE PLUS GROUP PRIMARY CARE LIMITED,CARE PLUS GROUP PRIMARY CARE LIMITED
CARE PROVIDERS UK LIMITED,CARE PROVIDERS UK LIMITED
CARE SOLUTIONS YORKSHIRE LIMITED,CARE SOLUTIONS YORKSHIRE LIMITED
CARE UK,CARE UK
CARE UK CLINICAL SERVICES LIMITED,CARE UK CLINICAL SERVICES LIMITED
CARE UK COMMUNITY PARTNERSHIPS LIMITED,CARE UK COMMUNITY PARTNERSHIPS LIMITED
CARE UK PRIMARY CARE LIMITED,CARE UK PRIMARY CARE LIMITED
CARE UK SHEPTON MALLET LIMITED,CARE UK SHEPTON MALLET LIMITED
CARE UNBOUND LIMITED,CARE UNBOUND LIMITED
CAREBASE CLAREMONT LIMITED,CAREBASE CLAREMONT LIMITED
CAREBASE GUILDFORD LIMITED,CAREBASE GUILDFORD LIMITED
CAREBASE HEMEL LIMITED,CAREBASE HEMEL LIMITED
CAREBASE SEWARDSTONE LIMITED,CAREBASE SEWARDSTONE LIMITED
CAREBRIDGE STAFFING LIMITED,CAREBRIDGE STAFFING LIMITED
CAREHOME SELECTION LIMITED,CAREHOME SELECTION LIMITED
CAREPOINT PRACTICE,CAREPOINT PRACTICE
CARERS BROMLEY,CARERS BROMLEY
CARERS HUB,CARERS HUB
CARERS SUPPORT BEXLEY,CARERS SUPPORT BEXLEY
CARERS SUPPORT CENTRE,CARERS SUPPORT CENTRE
CARERS SUPPORT WEST SUSSEX,CARERS SUPPORT WEST SUSSEX
CARERS WAKEFIELD AND DISTRICT,CARERS WAKEFIELD AND DISTRICT
CARETECH COMMUNITY SERVICES LIMITED,CARETECH COMMUNITY SERVICES LIMITED
CARICH CARE LIMITED,CARICH CARE LIMITED
CARING HOMES HEALTHCARE GROUP LIMITED,CARING HOMES HEALTHCARE GROUP LIMITED
CARISBROOKE HEALTH CENTRE,CARISBROOKE HEALTH CENTRE
CARISBROOKE SURGERY,CARISBROOKE SURGERY
CARITAS GROUP PRACTICE,CARITAS GROUP PRACTICE
CARLISLE HEALTHCARE,CARLISLE HEALTHCARE
CARN TO COAST HEALTH CENTRES,CARN TO COAST HEALTH CENTRES
CARNALL FARRAR LIMITED,CARNALL FARRAR LIMITED
CARNEWATER PRACTICE,CARNEWATER PRACTICE
CARNON DOWNS SURGERY,CARNON DOWNS SURGERY
CARRINGTON HOUSE LIMITED,CARRINGTON HOUSE LIMITED
CARTERKNOWLE AND DORE MEDICAL PRACTICE,CARTERKNOWLE AND DORE MEDICAL PRACTICE
CARTMEL SURGERY,CARTMEL SURGERY
CASKGATE STREET SURGERY,CASKGATE STREET SURGERY
CASSIO SURGERY,CASSIO SURGERY
CASTERBRIDGE HOMES LIMITED,CASTERBRIDGE HOMES LIMITED
CASTLE DONINGTON SURGERY,CASTLE DONINGTON SURGERY
CASTLE HEALTHCARE PRACTICE,CASTLE HEALTHCARE PRACTICE
CASTLE HILL HOUSE LIMITED,CASTLE HILL HOUSE LIMITED
CASTLE MEADOWS SURGERY,CASTLE MEADOWS SURGERY
CASTLE PRACTICE,CASTLE PRACTICE
CASTLEFIELDS HEALTH CENTRE,CASTLEFIELDS HEALTH CENTRE
CASTLEFORD MEDICAL PRACTICE,CASTLEFORD MEDICAL PRACTICE
CASTLEHEAD MEDICAL CENTRE,CASTLEHEAD MEDICAL CENTRE
CASTLERIGG CONSULTING LIMITED,CASTLERIGG CONSULTING LIMITED
CASTLETON ROAD HEALTH CENTRE,CASTLETON ROAD HEALTH CENTRE
CATALYST HOUSING GROUP LIMITED,CATALYST HOUSING GROUP LIMITED
CATALYST STOCKTON ON TEES LIMITED,CATALYST STOCKTON ON TEES LIMITED
CATALYZE LIMITED,CATALYZE LIMITED
CATHEDRAL MEDICAL GROUP,CATHEDRAL MEDICAL GROUP
CATHEDRAL VIEW LIMITED,CATHEDRAL VIEW LIMITED
CATHERINE MILLER HOUSE LIMITED,CATHERINE MILLER HOUSE LIMITED
CATHOLIC BLIND INSTITUTE,CATHOLIC BLIND INSTITUTE
CATOR MEDICAL CENTRE,CATOR MEDICAL CENTRE
CATTERICK VILLAGE SURGERY,CATTERICK VILLAGE SURGERY
CAUSEWAY MEDICAL CENTRE,CAUSEWAY MEDICAL CENTRE
CAVENDISH CARE,CAVENDISH CARE
CAVENDISH HEALTH CENTRE,CAVENDISH HEALTH CENTRE
CAVERSHAM GROUP PRACTICE,CAVERSHAM GROUP PRACTICE
CBGA ROBSON LIMITED LIABILITY PARTNERSHIP,CBGA ROBSON LIMITED LIABILITY PARTNERSHIP
CBRE LIMITED,CBRE LIMITED
CCLSOLUTIONS LIMITED,CCLSOLUTIONS LIMITED
CCS MEDIA LIMITED,CCS MEDIA LIMITED
CDI GROUP LIMITED,CDI GROUP LIMITED
CDW LIMITED,CDW LIMITED
CEDAR BROOK PRACTICE,CEDAR BROOK PRACTICE
CEDARS MEDICAL CENTRE,CEDARS MEDICAL CENTRE
CEDARS MEDICAL GROUP,CEDARS MEDICAL GROUP
CELGENE LIMITED,CELGENE LIMITED
CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST
CENTRAL BEDFORDSHIRE COUNCIL,CENTRAL BEDFORDSHIRE COUNCIL
CENTRAL CLINIC,CENTRAL CLINIC
CENTRAL DURHAM GP PROVIDERS LIMITED,CENTRAL DURHAM GP PROVIDERS LIMITED
CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST
CENTRAL MEDICAL ALLIANCE LIMITED,CENTRAL MEDICAL ALLIANCE LIMITED
CENTRAL MEDICAL CENTRE,CENTRAL MEDICAL CENTRE
CENTRAL NOTTINGHAMSHIRE CLINICAL SERVICES LIMITED,CENTRAL NOTTINGHAMSHIRE CLINICAL SERVICES LIMITED
CENTRAL PARK MEDICAL CENTRE,CENTRAL PARK MEDICAL CENTRE
CENTRAL SURGERY,CENTRAL SURGERY
CENTURY HEALTHCARE LIMITED,CENTURY HEALTHCARE LIMITED
CERT FOUNDATION COMMUNITY INTEREST COMPANY,CERT FOUNDATION COMMUNITY INTEREST COMPANY
CESTRIA HEALTH CENTRE,CESTRIA HEALTH CENTRE
CFH DOCMAIL LIMITED,CFH DOCMAIL LIMITED
CFT ESSEX LIMITED,CFT ESSEX LIMITED
CHACEWATER HEALTH CENTRE,CHACEWATER HEALTH CENTRE
CHADWELL HEATH SURGERY,CHADWELL HEATH SURGERY
CHADWICK LAWRENCE LIMITED LIABILITY PARTNERSHIP,CHADWICK LAWRENCE LIMITED LIABILITY PARTNERSHIP
CHAILEY HERITAGE FOUNDATION,CHAILEY HERITAGE FOUNDATION
CHANGEFX OD LIMITED,CHANGEFX OD LIMITED
CHANGES HEALTH AND WELLBEING,CHANGES HEALTH AND WELLBEING
CHANNEL 3 CONSULTING LIMITED,CHANNEL 3 CONSULTING LIMITED
CHAPEL ROW SURGERY,CHAPEL ROW SURGERY
CHAPTER WEST CHESHIRE LIMITED,CHAPTER WEST CHESHIRE LIMITED
CHARING SURGERY,CHARING SURGERY
CHARLOTTE KEEL MEDICAL PRACTICE,CHARLOTTE KEEL MEDICAL PRACTICE
CHARLTON HOUSE MEDICAL CENTRE,CHARLTON HOUSE MEDICAL CENTRE
CHARNOCK HEALTH PRIMARY CARE CENTRE,CHARNOCK HEALTH PRIMARY CARE CENTRE
CHARNWOOD CITIZENS ADVICE BUREAU,CHARNWOOD CITIZENS ADVICE BUREAU
CHARTERHOUSE SURGERY,CHARTERHOUSE SURGERY
CHARTWELL CARE SERVICES LIMITED,CHARTWELL CARE SERVICES LIMITED
CHASE HOUSE LIMITED,CHASE HOUSE LIMITED
CHASTLETON MEDICAL GROUP,CHASTLETON MEDICAL GROUP
CHATHAM STREET SURGERY,CHATHAM STREET SURGERY
CHC DIRECT LIMITED,CHC DIRECT LIMITED
CHEADLE ROYAL HOSPITAL,CHEADLE ROYAL HOSPITAL
CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST
CHELSFIELD SURGERY,CHELSFIELD SURGERY
CHENGUN CARE HOMES LIMITED,CHENGUN CARE HOMES LIMITED
CHERTSEY HEALTH CENTRE,CHERTSEY HEALTH CENTRE
CHESELDEN CONTINUING CARE LIMITED,CHESELDEN CONTINUING CARE LIMITED
