Dept Family,Organisation Name,Accounting Year,Period,Dater,Transaction Number,Supplier,VAT Registration Number,Expense Area,Expense type,Amount
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,19405,Gilead Sciences Ltd,792402037,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"47,989.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,19610,Gilead Sciences Ltd,792402037,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"25,534.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,19687,Alliance Healthcare (Distribution) Ltd,391532058,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"25,236.07"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,4064,Compass Contract Services (Uk) Limited,466477701,Tw:Soft Fm Contracts,Other Soft Fm Contracts,"64,057.14"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,4065,Compass Contract Services (Uk) Limited,466477701,Tw:Soft Fm Contracts,Other Soft Fm Contracts,"120,569.92"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,4069,Imtech Low Carbon Solutions Ltd,263126326,Tw:Energy & Utilities,Msse Maintenance Contracts,"46,818.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,4166,Hmrc Cumbernauld,,Tw:Balance Sheet-Property Serv,Creditors - Income Tax,"33,789.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,972584,University College London,524371168,Tw:Ucl Sal Rechge Ap Inv Only,Consultant-Som,"45,773.88"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1277924,University College London,524371168,Tw:Ucl Sal Rechge Ap Inv Only,Consultant-Som,"28,646.77"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1420224,Uclh Nhs Foundation Trust,654948687,Rf:Radiology,Consultant - Recharge In,"29,794.15"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1432076,Vermop Uk Limited,932003864,Rf:Rfh Facilities Management,Other Non-Clinical Supplies,"41,573.52"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1477247,Jc Watson Mechanical Ltd,226481508,Tw:Ih Catering Patients,Catering Equipment,"38,199.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1484060,Covac Ltd,670635334,Rf:Mechanical Projects-Backlog,Estates Services Contracts,"69,264.96"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1487711,Synergy Health Managed Services Ltd,243829687,Bh:Operations Dir Admin,Bedding & Linen,"55,370.38"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1488288,Cbre Managed Services Ltd,853936883,Ch:Covid-19,Med&Surg Equipment Hire,"81,445.26"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1488543,Barts Health Nhs Trust,654947005,Rf:Haemophilia,Community Drugs (Tedd),"112,458.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1488544,Barts Health Nhs Trust,654947005,Rf:Haemophilia,Community Drugs (Tedd),"620,182.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1491310,Covac Ltd,670635334,Rf:Mechanical Projects-Backlog,Estates Services Contracts,"69,264.96"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1497266,Rfl Property Services Limited,,Rf:Property Services,Ic Management Service,"100,281.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1499958,Imperial College Healthcare Nhs Trust,654945990,Rf:Haemophilia,Drugs (Tedd),"233,930.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1499959,Imperial College Healthcare Nhs Trust,654945990,Rf:Haemophilia,Drugs (Tedd),"44,595.07"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1500471,Baxter Healthcare Ltd,103222439,Rf:Capd,Renal Dialysis Consumables,"205,620.12"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1501224,Baxter Healthcare Ltd,103222439,Rf:Capd,Renal Dialysis Consumables,"75,678.46"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1501227,Baxter Healthcare Ltd,103222439,Rf:Capd,Renal Dialysis Consumables,"81,778.28"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1502517,Baxter Healthcare Ltd,103222439,Rf:Capd,Renal Dialysis Consumables,"196,697.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1502537,Elis Uk Ltd,226516179,Rf:Rfh Facilities Contract,Contract Laundry,"81,983.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1504023,Synergy Health Managed Services Ltd,243829687,Bh:Operations Dir Admin,Bedding & Linen,"55,347.25"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1505391,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"113,643.85"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1505582,Dhl Supply Chain Ltd,230113042,Rf:Rfh Transport,Transport-Misc.Expenses,"101,717.57"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1505859,Genzyme Therapaeutics Ltd,246079843,Tw:Balance Sheet,Pharmacy Issues & Receipts,"84,540.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1505874,Octapharma Limited,585216330,Tw:Balance Sheet,Pharmacy Issues & Receipts,"72,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1506667,Radiology Reporting Online Llp,134072836,Bh:Radiology,Healthcare Commercial Sector,"60,699.24"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1507123,Dictate It,835575990,Tw:Patient Systems,It Software,"28,438.58"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1507125,Dictate It,835575990,Tw:Patient Systems,It Software,"82,848.77"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1507276,Utilyx Healthcare Energy Services Ltd,416706654,Rf:Energy,Energy Management Contracts,"150,979.50"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1507495,Utilyx Healthcare Energy Services Ltd (Ancil),,Rf:Energy,Rentals Operating Leases,"93,496.14"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1507689,Cec Healthcare Coding Ltd,215249033,Tw:Clinical Coding,Other Non-Clinical Services,"68,350.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1508848,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"31,975.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1510380,Aah Pharmaceutical Ltd,546573322,Tw:Balance Sheet,Pharmacy Issues & Receipts,"48,523.68"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1510481,Aah Pharmaceutical Ltd,546573322,Tw:Balance Sheet,Pharmacy Issues & Receipts,"80,872.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1510553,Csl Behring,583602338,Tw:Balance Sheet,Pharmacy Issues & Receipts,"168,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1510969,Alloga Uk,684090520,Tw:Balance Sheet,Pharmacy Issues & Receipts,"27,120.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1510970,Alloga Uk,684090520,Tw:Balance Sheet,Pharmacy Issues & Receipts,"27,120.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1511017,Alloga Uk,684090520,Tw:Balance Sheet,Pharmacy Issues & Receipts,"36,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1512479,Shakib Property Management Ltd,,Hw:Building Services,Rent,"138,865.01"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1514381,Healthcare At Home Ltd,873342418,Tw:Balance Sheet,Pharmacy Issues & Receipts,"25,379.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1514519,Pharmaxo Pharmacy Services Ltd,210696424,Tw:Balance Sheet,Pharmacy Issues & Receipts,"32,165.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1514524,Pharmaxo Pharmacy Services Ltd,210696424,Tw:Balance Sheet,Pharmacy Issues & Receipts,"31,841.28"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1514545,Healthnet Homecare (Uk) Ltd,9279257756,Tw:Balance Sheet,Pharmacy Issues & Receipts,"32,292.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1514568,Kpmg Llp,791788859,Tw:Commercial  Finance,Consultancy Fees,"61,680.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1514617,London Mutual Credit Union,,Tw:Balance Sheet,London Mutual Credit Union,"25,195.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1515319,Alliance Healthcare (Distribution) Ltd,391532058,Tw:Balance Sheet,Pharmacy Issues & Receipts,"-29,520.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1515485,Ge Capital Equipment Finance Ltd,,Rf:Radiology,Radiology Equipment,"26,400.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1515617,W Portsmouth And Co Ltd,197000865,Rf:Electrical Projects-Backlog,Eng Mnt-Ext Repairs,"40,671.84"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1516090,Grifols Uk Ltd,849740388,Tw:Balance Sheet,Pharmacy Issues & Receipts,"79,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1516163,Novartis Pharmaceuticals,557290227,Tw:Balance Sheet,Pharmacy Issues & Receipts,"28,871.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1516169,Novartis Pharmaceuticals,557290227,Tw:Balance Sheet,Pharmacy Issues & Receipts,"166,776.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1517125,Darwin Group Limited,907075331,Bh:Modular Ward,Building Contracts,"91,160.18"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,1517131,Mace Group Limited,778468756,Tw:Nightingale Ward (Excel),Building Contracts,"123,064.15"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,19960,Royal Free London Nhs Ft,GB654946987,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"25,032.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,20014,Alcura Uk Ltd,603992727,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"54,888.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,20017,Alcura Uk Ltd,603992727,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"29,626.56"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,20131,Alliance Healthcare (Distribution) Ltd,391532058,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"27,407.57"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,24/09/2020,20208,Otsuka Pharmaceutical Europe Ltd,720417177,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"37,695.84"
